,Champion**Item,picks
3330,Aatrox**Ionian Boots of Lucidity,183
3331,Seraphine**Needlessly Large Rod,183
3332,LeeSin**Axiom Arc,182
3333,Blitzcrank**Ionian Boots of Lucidity,182
3334,Pantheon**Serpent's Fang,182
3335,Nunu**Randuin's Omen,182
3336,Irelia**Null-Magic Mantle,182
3337,Draven**Mercury's Treads,182
3338,AurelionSol**Night Harvester,182
3339,Corki**Pickaxe,182
3340,Velkoz**Morellonomicon,182
3341,Riven**Chempunk Chainsword,182
3342,Viego**Doran's Shield,182
3343,Lillia**Broken Stopwatch,69
3344,Xayah**Edge of Night,182
3345,Garen**Long Sword,182
3346,Kayn**Spirit Visage,181
3347,JarvanIV**Caulfield's Warhammer,181
3348,Morgana**Blasting Wand,181
3349,Cassiopeia**Void Staff,181
3350,Nocturne**Youmuu's Ghostblade,181
3351,Sivir**Kraken Slayer,181
3352,Jayce**Maw of Malmortius,181
3353,Graves**Edge of Night,181
3354,Akshan**Rapid Firecannon,181
3355,Senna**Umbral Glaive,180
3356,Camille**Wit's End,180
3357,MissFortune**Immortal Shieldbow,180
3358,Karma**Broken Stopwatch,34
3359,Yuumi**Negatron Cloak,180
3360,Vayne**Executioner's Calling,180
3361,Nunu**Everfrost,180
3362,Gangplank**Pickaxe,180
3363,Jayce**Stopwatch,180
3364,Kennen**Stopwatch,180
3365,Sona**Redemption,180
3366,Riven**Boots,179
3367,Lillia**Frozen Heart,179
3368,Kindred**Boots,179
3369,Gragas**Evenshroud,179
3370,Singed**Doran's Ring,179
3371,Qiyana**Muramana,179
3372,Zyra**Demonic Embrace,179
3373,Sivir**Cloak of Agility,179
3374,Renekton**Chain Vest,179
3375,Nocturne**Pickaxe,179
3376,Garen**Executioner's Calling,178
3377,Vladimir**Horizon Focus,178
3378,MissFortune**Mercury's Treads,178
3379,RekSai**Caulfield's Warhammer,178
3380,Sion**Randuin's Omen,178
3381,Kled**Phage,178
3382,XinZhao**Kindlegem,178
3383,Volibear**Zhonya's Hourglass,178
3384,Annie**Refillable Potion,178
3385,Ashe**Galeforce,178
3386,TwistedFate**Stopwatch,178
3387,Jax**Cloth Armor,178
3388,Nunu**Crown of the Shattered Queen,178
3389,Garen**Force of Nature,177
3390,Talon**Vampiric Scepter,177
3391,Yasuo**Phantom Dancer,177
3392,Sejuani**Warmog's Armor,177
3393,Brand**Fiendish Codex,177
3394,Kalista**Cloak of Agility,177
3395,Ahri**Mejai's Soulstealer,177
3396,Kassadin**Stopwatch,177
3397,Viktor**Ruby Crystal,177
3398,Kaisa**Broken Stopwatch,4
3399,Quinn**Plated Steelcaps,177
3400,Fiora**Ionian Boots of Lucidity,177
3401,Azir**Amplifying Tome,177
3402,Caitlyn**Noonquiver,177
3403,Sion**Boots of Swiftness,176
3404,Nami**Broken Stopwatch,23
3405,Kennen**Seeker's Armguard,176
3406,Ornn**Refillable Potion,176
3407,Nautilus**Pauldrons of Whiterock,176
3408,Elise**Blighting Jewel,176
3409,Yorick**Trinity Force,176
3410,Camille**Sheen,176
3411,Corki**Cull,175
3412,Karthus**Stopwatch,175
3413,Azir**Void Staff,175
3414,Taliyah**Fiendish Codex,175
3415,Zilean**Mejai's Soulstealer,175
3416,Velkoz**Hextech Alternator,175
3417,RekSai**Chain Vest,175
3418,Morgana**Seeker's Armguard,175
3419,JarvanIV**Stopwatch,175
3420,MasterYi**Control Ward,175
3421,Rell**Refillable Potion,175
3422,Gangplank**Executioner's Calling,175
3423,Leona**Aegis of the Legion,175
3424,Syndra**Mercury's Treads,175
3425,Zyra**Fiendish Codex,174
3426,Jhin**Bloodthirster,174
3427,Viktor**Sheen,174
3428,RekSai**Boots,174
3429,Orianna**Mejai's Soulstealer,174
3430,Darius**Randuin's Omen,174
3431,Karma**Mejai's Soulstealer,174
3432,Leblanc**Seeker's Armguard,174
3433,Annie**Liandry's Anguish,174
3434,Kassadin**Cosmic Drive,174
3435,Khazix**Goredrinker,174
3436,Tristana**Guardian Angel,174
3437,Annie**Blasting Wand,173
3438,Seraphine**Rylai's Crystal Scepter,173
3439,Galio**Void Staff,173
3440,Diana**Broken Stopwatch,17
3441,Malphite**Force of Nature,173
3442,Sion**The Collector,173
3443,Ashe**Vampiric Scepter,172
3444,Shyvana**Plated Steelcaps,172
3445,Gragas**Shard of True Ice,172
3446,LeeSin**Spectre's Cowl,172
3447,Anivia**Ionian Boots of Lucidity,172
3448,Maokai**Sunfire Aegis,172
3449,Rengar**Pickaxe,172
3450,Mordekaiser**Cosmic Drive,172
3451,Zac**Mejai's Soulstealer,172
3452,Kayn**Chain Vest,172
3453,Kaisa**Stopwatch,172
3454,Rammus**Mercury's Treads,172
3455,Darius**Executioner's Calling,171
3456,Kled**Cloth Armor,171
3457,Varus**Youmuu's Ghostblade,171
3458,Gragas**Locket of the Iron Solari,171
3459,Fiora**Muramana,171
3460,Jax**Randuin's Omen,171
3461,Kindred**Executioner's Calling,171
3462,Corki**Refillable Potion,171
3463,Kled**Control Ward,171
3464,Alistar**Boots of Swiftness,171
3465,Kled**Long Sword,171
3466,Ziggs**Broken Stopwatch,43
3467,Malzahar**Giant's Belt,170
3468,LeeSin**Bramble Vest,170
3469,Pyke**Chain Vest,170
3470,Viego**Lord Dominik's Regards,170
3471,Zac**Bulwark of the Mountain,170
3472,Gangplank**Sterak's Gage,170
3473,Rell**Knight's Vow,170
3474,Zac**Warmog's Armor,170
3475,Azir**Crown of the Shattered Queen,170
3476,Janna**Mikael's Blessing,170
3477,Morgana**Ruby Crystal,170
3478,Anivia**Rabadon's Deathcap,170
3479,Chogath**Rabadon's Deathcap,170
3480,RekSai**Stopwatch,170
3481,Ryze**Broken Stopwatch,4
3482,Nunu**Giant's Belt,169
3483,Ekko**Recurve Bow,169
3484,Gwen**Ruby Crystal,169
3485,Nunu**Needlessly Large Rod,169
3486,Brand**Refillable Potion,169
3487,Ziggs**Blighting Jewel,169
3488,Quinn**Refillable Potion,169
3489,Poppy**Pauldrons of Whiterock,169
3490,Veigar**Mejai's Soulstealer,168
3491,Chogath**Frozen Heart,168
3492,Maokai**Shard of True Ice,168
3493,Leblanc**Stopwatch,168
3494,MasterYi**Essence Reaver,168
3495,Sett**Force of Nature,168
3496,Yone**Quicksilver Sash,168
3497,Neeko**Doran's Ring,168
3498,Anivia**Blasting Wand,168
3499,Graves**Dagger,168
3500,Ekko**Banshee's Veil,168
3501,Irelia**Chempunk Chainsword,168
3502,Volibear**Cloth Armor,168
3503,Aphelios**Noonquiver,168
3504,Ryze**Kindlegem,167
3505,Kassadin**Blighting Jewel,167
3506,Syndra**Stopwatch,167
3507,Jinx**Wit's End,167
3508,Xerath**Lost Chapter,167
3509,Heimerdinger**Morellonomicon,167
3510,Corki**Control Ward,167
3511,Akshan**Negatron Cloak,167
3512,Talon**Doran's Blade,167
3513,Sivir**Lord Dominik's Regards,166
3514,Viego**Boots,166
3515,Irelia**Ironspike Whip,166
3516,Lillia**Mercury's Treads,166
3517,Hecarim**Warden's Mail,166
3518,Zilean**Broken Stopwatch,108
3519,Karma**Liandry's Anguish,166
3520,Braum**Refillable Potion,165
3521,Qiyana**Pickaxe,165
3522,Seraphine**Cosmic Drive,165
3523,Warwick**Ionian Boots of Lucidity,165
3524,Azir**Rabadon's Deathcap,165
3525,Shaco**Blade of The Ruined King,165
3526,KogMaw**Sorcerer's Shoes,165
3527,Fizz**Aether Wisp,165
3528,Gangplank**Control Ward,165
3529,Anivia**Luden's Tempest,165
3530,XinZhao**Black Cleaver,165
3531,Hecarim**Executioner's Calling,164
3532,Nasus**Null-Magic Mantle,164
3533,Fiora**Trinity Force,164
3534,JarvanIV**Null-Magic Mantle,164
3535,LeeSin**Null-Magic Mantle,164
3536,Ryze**Shadowflame,164
3537,Akshan**Bloodthirster,164
3538,Diana**Shadowflame,164
3539,Nautilus**Crystalline Bracer,164
3540,Lillia**Ruby Crystal,163
3541,Teemo**Leeching Leer,163
3542,Taric**Shurelya's Battlesong,163
3543,Annie**Mejai's Soulstealer,163
3544,Ashe**Negatron Cloak,163
3545,MonkeyKing**Kindlegem,163
3546,Darius**Negatron Cloak,163
3547,Lulu**Null-Magic Mantle,162
3548,Rumble**Broken Stopwatch,36
3549,Zilean**Doran's Ring,162
3550,XinZhao**Hearthbound Axe,162
3551,Zed**Kindlegem,162
3552,Kalista**Long Sword,162
3553,Katarina**Seeker's Armguard,162
3554,Udyr**Bramble Vest,162
3555,Tristana**Immortal Shieldbow,162
3556,Urgot**Refillable Potion,162
3557,Pantheon**Divine Sunderer,162
3558,Lissandra**Mercury's Treads,162
3559,Zilean**Ruby Crystal,162
3560,Swain**Mercury's Treads,161
3561,Sylas**Cloth Armor,161
3562,Fiora**Broken Stopwatch,1
3563,Cassiopeia**Morellonomicon,161
3564,Rengar**The Collector,161
3565,MonkeyKing**Chempunk Chainsword,161
3566,Quinn**Infinity Edge,161
3567,Jax**Refillable Potion,161
3568,Nunu**Spectre's Cowl,161
3569,Elise**Needlessly Large Rod,161
3570,Leblanc**Boots,161
3571,Heimerdinger**Control Ward,161
3572,Garen**Black Cleaver,161
3573,Chogath**Kindlegem,160
3574,Annie**Morellonomicon,160
3575,KogMaw**Kraken Slayer,160
3576,Sion**Tiamat,160
3577,Sejuani**Cloth Armor,160
3578,Gragas**Seeker's Armguard,160
3579,Vex**Lost Chapter,160
3580,Ryze**Frozen Heart,160
3581,Janna**Boots,159
3582,Garen**Zeal,159
3583,Lulu**Boots of Swiftness,159
3584,Jax**Doran's Shield,159
3585,Soraka**Crystalline Bracer,159
3586,Varus**Wit's End,159
3587,Vex**Boots,159
3588,Rakan**Boots of Swiftness,159
3589,Alistar**Glacial Buckler,159
3590,Annie**Control Ward,159
3591,Xerath**Boots,159
3592,Nocturne**Chain Vest,159
3593,Nami**Negatron Cloak,159
3594,Garen**Hullbreaker,159
3595,Zed**Goredrinker,159
3596,Swain**Plated Steelcaps,159
3597,Braum**Thornmail,159
3598,Elise**Broken Stopwatch,8
3599,Swain**Everfrost,158
3600,Quinn**Long Sword,158
3601,Sylas**Boots,158
3602,Ekko**Cosmic Drive,158
3603,Alistar**Winged Moonplate,158
3604,Sivir**Refillable Potion,158
3605,Ahri**Liandry's Anguish,158
3606,Shaco**Immortal Shieldbow,158
3607,Gangplank**Divine Sunderer,158
3608,Kindred**Runaan's Hurricane,158
3609,Irelia**B. F. Sword,158
3610,Nocturne**Goredrinker,158
3611,Maokai**Sorcerer's Shoes,158
3612,Velkoz**Fiendish Codex,157
3613,Seraphine**Fiendish Codex,157
3614,Gangplank**B. F. Sword,157
3615,Sett**Turbo Chemtank,157
3616,Shaco**Demonic Embrace,157
3617,Lulu**Mercury's Treads,157
3618,Morgana**Moonstone Renewer,157
3619,Malzahar**Void Staff,157
3620,Ashe**B. F. Sword,157
3621,Qiyana**Executioner's Calling,157
3622,Ashe**Mortal Reminder,157
3623,Skarner**Ruby Crystal,157
3624,Olaf**Refillable Potion,156
3625,Trundle**Wit's End,156
3626,Vladimir**Broken Stopwatch,14
3627,Vi**Giant's Belt,156
3628,Khazix**The Collector,156
3629,Heimerdinger**Boots,156
3630,Sion**Warden's Mail,156
3631,JarvanIV**Death's Dance,156
3632,Zed**Chempunk Chainsword,156
3633,XinZhao**Immortal Shieldbow,156
3634,Amumu**Anathema's Chains,156
3635,Sett**Chain Vest,156
3636,Alistar**Mercury's Treads,155
3637,Jinx**Quicksilver Sash,155
3638,Kled**Pickaxe,155
3639,Anivia**Broken Stopwatch,19
3640,Fizz**Hextech Rocketbelt,155
3641,Urgot**Goredrinker,155
3642,Lissandra**Broken Stopwatch,22
3643,Taric**Evenshroud,155
3644,Akali**Giant's Belt,154
3645,Gwen**Aether Wisp,154
3646,Shaco**B. F. Sword,154
3647,Diana**Fiendish Codex,154
3648,Xayah**Serpent's Fang,154
3649,Nunu**Rabadon's Deathcap,154
3650,Evelynn**Fiendish Codex,154
3651,Xayah**Broken Stopwatch,1
3652,Heimerdinger**Blasting Wand,154
3653,Akshan**Cull,154
3654,Jinx**Boots,154
3655,Ornn**Frostfire Gauntlet,154
3656,Irelia**Trinity Force,154
3657,Varus**Guinsoo's Rageblade,153
3658,Xerath**Stopwatch,153
3659,Pantheon**Runesteel Spaulders,153
3660,Malzahar**Dark Seal,153
3661,TwistedFate**Doran's Ring,153
3662,FiddleSticks**Banshee's Veil,153
3663,Kled**Bramble Vest,153
3664,Aatrox**Spectre's Cowl,153
3665,Lux**Banshee's Veil,153
3666,Kayle**Control Ward,153
3667,Trundle**Locket of the Iron Solari,153
3668,Diana**Night Harvester,153
3669,Zoe**Broken Stopwatch,62
3670,Volibear**Doran's Shield,152
3671,Akali**Banshee's Veil,152
3672,Samira**Executioner's Calling,152
3673,Rengar**Titanic Hydra,152
3674,Taric**Targon's Buckler,152
3675,Shaco**Morellonomicon,152
3676,Varus**Serrated Dirk,152
3677,Chogath**Fiendish Codex,152
3678,Renekton**Boots,152
3679,Vi**The Collector,152
3680,JarvanIV**Giant's Belt,152
3681,Riven**Serrated Dirk,151
3682,Chogath**Needlessly Large Rod,151
3683,Gragas**Seraph's Embrace,151
3684,Nocturne**Boots,151
3685,Neeko**Dark Seal,151
3686,Yuumi**Hextech Alternator,151
3687,Rumble**Hextech Alternator,151
3688,Ashe**Pickaxe,151
3689,Jayce**Pickaxe,151
3690,Yasuo**Lord Dominik's Regards,151
3691,Kassadin**Cloth Armor,151
3692,Trundle**Trinity Force,151
3693,Bard**Chain Vest,151
3694,Gragas**Mejai's Soulstealer,151
3695,Quinn**The Collector,150
3696,Camille**Null-Magic Mantle,150
3697,Urgot**Thornmail,150
3698,Annie**Ionian Boots of Lucidity,150
3699,Kled**Refillable Potion,150
3700,Darius**Long Sword,150
3701,Zilean**Seeker's Armguard,150
3702,Tristana**Stormrazor,150
3703,Xayah**Zeal,150
3704,Volibear**Nashor's Tooth,150
3705,Sion**Frozen Heart,150
3706,Gragas**Blighting Jewel,150
3707,Ezreal**Guardian Angel,150
3708,RekSai**Cloth Armor,150
3709,AurelionSol**Everfrost,150
3710,Kalista**Rageknife,150
3711,FiddleSticks**Rabadon's Deathcap,150
3712,Vex**Mercury's Treads,150
3713,Nautilus**Ionian Boots of Lucidity,150
3714,Hecarim**Broken Stopwatch,10
3715,Teemo**Plated Steelcaps,149
3716,Morgana**Refillable Potion,149
3717,Lillia**Rabadon's Deathcap,149
3718,Velkoz**Rabadon's Deathcap,149
3719,Lucian**Noonquiver,149
3720,Riven**Last Whisper,149
3721,Shyvana**Frostfire Gauntlet,149
3722,Darius**Aegis of the Legion,149
3723,Riven**Ravenous Hydra,149
3724,Jhin**Serpent's Fang,149
3725,Brand**Broken Stopwatch,39
3726,TwistedFate**Crown of the Shattered Queen,148
3727,Kindred**Last Whisper,148
3728,KogMaw**Long Sword,148
3729,Sett**Negatron Cloak,148
3730,Nocturne**Black Cleaver,148
3731,Elise**Mejai's Soulstealer,148
3732,Kled**Gargoyle Stoneplate,148
3733,Tristana**Plated Steelcaps,148
3734,Kayle**Refillable Potion,148
3735,Jayce**The Collector,148
3736,Urgot**Control Ward,148
3737,Velkoz**Amplifying Tome,148
3738,Quinn**Doran's Blade,148
3739,Pantheon**Kindlegem,147
3740,Gnar**Pickaxe,147
3741,Bard**Negatron Cloak,147
3742,XinZhao**Null-Magic Mantle,147
3743,Ziggs**Crown of the Shattered Queen,147
3744,Rakan**Stopwatch,147
3745,Vi**Wit's End,147
3746,Zilean**Corrupting Potion,147
3747,Nunu**Shadowflame,147
3748,Draven**Galeforce,147
3749,Ryze**Stopwatch,147
3750,Gnar**Negatron Cloak,146
3751,Mordekaiser**Ruby Crystal,146
3752,Gragas**Plated Steelcaps,146
3753,XinZhao**B. F. Sword,146
3754,Swain**Fiendish Codex,146
3755,Vi**Broken Stopwatch,1
3756,Bard**Glacial Buckler,146
3757,Kaisa**Executioner's Calling,146
3758,Soraka**Mobility Boots,146
3759,Lux**Tear of the Goddess,146
3760,TwistedFate**Morellonomicon,146
3761,Shaco**Everfrost,146
3762,Yuumi**Null-Magic Mantle,146
3763,Sejuani**Randuin's Omen,145
3764,Urgot**Bami's Cinder,145
3765,Nasus**Anathema's Chains,145
3766,Lillia**Doran's Ring,145
3767,Udyr**Divine Sunderer,145
3768,Ashe**Guardian Angel,145
3769,Rakan**Null-Magic Mantle,145
3770,LeeSin**Maw of Malmortius,145
3771,Seraphine**Refillable Potion,145
3772,Thresh**Faerie Charm,145
3773,Sivir**Caulfield's Warhammer,144
3774,Akshan**Broken Stopwatch,144
3775,Thresh**Winged Moonplate,144
3776,Nocturne**Serpent's Fang,144
3777,Kled**Black Cleaver,144
3778,Diana**Crown of the Shattered Queen,144
3779,Ornn**Frozen Heart,144
3780,Taliyah**Broken Stopwatch,12
3781,Blitzcrank**Redemption,143
3782,Seraphine**Crown of the Shattered Queen,143
3783,Lux**Health Potion,143
3784,Sett**Caulfield's Warhammer,143
3785,Maokai**Runesteel Spaulders,143
3786,Rammus**Control Ward,143
3787,LeeSin**Boots,143
3788,Nidalee**Sheen,143
3789,Shaco**Sheen,143
3790,Ezreal**Hearthbound Axe,143
3791,Darius**Spectre's Cowl,142
3792,Riven**Cloth Armor,142
3793,Sylas**Shadowflame,142
3794,Zoe**Stopwatch,142
3795,Ziggs**Mejai's Soulstealer,142
3796,Lulu**Plated Steelcaps,142
3797,Fizz**Fiendish Codex,142
3798,Shaco**Guardian Angel,142
3799,Elise**Hextech Alternator,142
3800,Akali**Cosmic Drive,142
3801,Senna**Last Whisper,142
3802,Soraka**Doran's Ring,142
3803,Azir**Corrupting Potion,142
3804,Heimerdinger**Hextech Rocketbelt,142
3805,Jinx**Health Potion,142
3806,Nidalee**Ruby Crystal,141
3807,Qiyana**Stopwatch,141
3808,Annie**Horizon Focus,141
3809,Hecarim**Randuin's Omen,141
3810,Elise**Banshee's Veil,141
3811,Nasus**Tear of the Goddess,141
3812,Ryze**Morellonomicon,141
3813,AurelionSol**Morellonomicon,141
3814,Karthus**Seraph's Embrace,141
3815,Trundle**Spectre's Cowl,141
3816,Graves**Null-Magic Mantle,141
3817,Lillia**Needlessly Large Rod,141
3818,Pyke**Hexdrinker,141
3819,Olaf**Spirit Visage,140
3820,Kindred**Doran's Blade,140
3821,Singed**Frozen Heart,140
3822,Nasus**Aegis of the Legion,140
3823,Cassiopeia**Ruby Crystal,140
3824,Shen**Bami's Cinder,140
3825,Evelynn**Night Harvester,140
3826,Trundle**Frozen Heart,140
3827,Amumu**Negatron Cloak,140
3828,Shaco**Broken Stopwatch,25
3829,Swain**Giant's Belt,140
3830,Syndra**Refillable Potion,140
3831,Shyvana**Dark Seal,140
3832,Alistar**Null-Magic Mantle,139
3833,Kennen**Ruby Crystal,139
3834,Nami**Health Potion,139
3835,Pantheon**Refillable Potion,139
3836,MonkeyKing**Trinity Force,139
3837,Kalista**Plated Steelcaps,139
3838,Lissandra**Blighting Jewel,139
3839,Mordekaiser**Oblivion Orb,139
3840,Vi**Boots,139
3841,Kaisa**Boots,139
3842,FiddleSticks**Mejai's Soulstealer,139
3843,Qiyana**Tear of the Goddess,138
3844,Draven**Noonquiver,138
3845,Ryze**Blighting Jewel,138
3846,Ziggs**Ionian Boots of Lucidity,138
3847,Maokai**Negatron Cloak,138
3848,Nidalee**Cosmic Drive,138
3849,Ornn**Null-Magic Mantle,138
3850,Vladimir**Stopwatch,138
3851,Udyr**Cloth Armor,138
3852,Ezreal**Mercury's Treads,138
3853,Yuumi**Horizon Focus,138
3854,Sona**Vigilant Wardstone,138
3855,Zyra**Giant's Belt,137
3856,Malphite**Bami's Cinder,137
3857,Gnar**Kindlegem,137
3858,Irelia**Bramble Vest,137
3859,Ornn**Warmog's Armor,137
3860,Kayn**Boots,137
3861,Kalista**Refillable Potion,137
3862,Talon**Death's Dance,137
3863,Veigar**Shadowflame,137
3864,Pyke**Black Mist Scythe,137
3865,Gangplank**Muramana,137
3866,Nocturne**Corrupting Potion,137
3867,Singed**Control Ward,137
3868,Yorick**Corrupting Potion,137
3869,Lucian**Maw of Malmortius,137
3870,Katarina**Doran's Shield,137
3871,Pantheon**Phage,137
3872,DrMundo**Titanic Hydra,136
3873,Bard**Frostfang,136
3874,Velkoz**Crown of the Shattered Queen,136
3875,Sivir**Serrated Dirk,136
3876,Annie**Blighting Jewel,136
3877,Cassiopeia**Corrupting Potion,136
3878,Tristana**Dagger,136
3879,Sion**Kindlegem,136
3880,Ivern**Zhonya's Hourglass,136
3881,Urgot**Chempunk Chainsword,136
3882,Blitzcrank**Negatron Cloak,136
3883,Zed**Guardian Angel,136
3884,Yasuo**Hearthbound Axe,136
3885,Nautilus**Vigilant Wardstone,136
3886,Thresh**Warden's Mail,136
3887,Sion**Pickaxe,136
3888,Varus**Serylda's Grudge,135
3889,Anivia**Fiendish Codex,135
3890,Aatrox**Thornmail,135
3891,Yasuo**Plated Steelcaps,135
3892,Pantheon**Blade of The Ruined King,135
3893,Zyra**Rylai's Crystal Scepter,135
3894,Shen**Spirit Visage,135
3895,Malphite**Amplifying Tome,135
3896,Cassiopeia**Kindlegem,135
3897,DrMundo**Null-Magic Mantle,135
3898,Zilean**Stopwatch,135
3899,Renekton**Stridebreaker,135
3900,Bard**Null-Magic Mantle,135
3901,Chogath**Amplifying Tome,135
3902,Irelia**Sheen,135
3903,Kindred**Broken Stopwatch,135
3904,Rakan**Knight's Vow,135
3905,Malzahar**Tear of the Goddess,135
3906,Irelia**Rageknife,135
3907,Azir**Cosmic Drive,134
3908,Xayah**Sheen,134
3909,Singed**Winged Moonplate,134
3910,Malphite**Everfrost,134
3911,Teemo**Blighting Jewel,134
3912,Urgot**Cloth Armor,134
3913,Mordekaiser**Dark Seal,134
3914,MasterYi**Boots,134
3915,Aphelios**Phantom Dancer,134
3916,Brand**Blighting Jewel,134
3917,Rammus**Bramble Vest,134
3918,Cassiopeia**Giant's Belt,134
3919,Nocturne**Executioner's Calling,134
3920,Kled**Aegis of the Legion,134
3921,MasterYi**Phage,133
3922,Tristana**Mortal Reminder,133
3923,Senna**Harrowing Crescent,133
3924,Nunu**Frostfire Gauntlet,133
3925,Kennen**Banshee's Veil,133
3926,Gwen**Bramble Vest,133
3927,Rell**Null-Magic Mantle,133
3928,Sion**Serpent's Fang,133
3929,Rumble**Fiendish Codex,133
3930,Yone**Plated Steelcaps,133
3931,Rumble**Seeker's Armguard,133
3932,Shaco**Caulfield's Warhammer,133
3933,Skarner**Divine Sunderer,132
3934,Pantheon**Boots,132
3935,AurelionSol**Crown of the Shattered Queen,132
3936,Morgana**Giant's Belt,132
3937,Sett**Black Cleaver,132
3938,Malzahar**Refillable Potion,132
3939,Ekko**Plated Steelcaps,132
3940,Urgot**Sterak's Gage,132
3941,Twitch**Boots,132
3942,Aphelios**Health Potion,132
3943,Fizz**Doran's Ring,132
3944,MissFortune**Duskblade of Draktharr,132
3945,Leblanc**Aether Wisp,132
3946,Viego**Randuin's Omen,132
3947,MissFortune**Rapid Firecannon,132
3948,Zoe**Banshee's Veil,132
3949,Qiyana**Black Cleaver,131
3950,Rammus**Ruby Crystal,131
3951,Trundle**Anathema's Chains,131
3952,Warwick**Long Sword,131
3953,Nunu**Warden's Mail,131
3954,Ivern**Oblivion Orb,131
3955,Camille**Kindlegem,131
3956,MonkeyKing**Boots,131
3957,Diana**Blighting Jewel,131
3958,Jhin**Berserker's Greaves,131
3959,Poppy**Frozen Heart,131
3960,Viego**Kindlegem,131
3961,Ivern**Ardent Censer,131
3962,Aphelios**Rapid Firecannon,131
3963,Ziggs**Stopwatch,130
3964,Jayce**Boots,130
3965,Graves**Quicksilver Sash,130
3966,Gragas**Stopwatch,130
3967,Rammus**Dead Man's Plate,130
3968,Illaoi**Goredrinker,130
3969,Veigar**Kindlegem,130
3970,Yorick**Mercury's Treads,130
3971,KogMaw**Cloak of Agility,130
3972,Kaisa**Noonquiver,130
3973,Warwick**Spirit Visage,130
3974,Amumu**Null-Magic Mantle,130
3975,Olaf**Bramble Vest,129
3976,Morgana**Frostfang,129
3977,Orianna**Banshee's Veil,129
3978,Ivern**Cosmic Drive,129
3979,Katarina**Plated Steelcaps,129
3980,Talon**Maw of Malmortius,129
3981,Xerath**Broken Stopwatch,112
3982,Annie**Fiendish Codex,129
3983,Warwick**Doran's Shield,129
3984,Quinn**Kraken Slayer,129
3985,Fiora**Stopwatch,129
3986,Kalista**Lord Dominik's Regards,129
3987,Heimerdinger**Shard of True Ice,129
3988,Fizz**Sheen,129
3989,Orianna**Blighting Jewel,129
3990,Nami**Plated Steelcaps,129
3991,Caitlyn**Health Potion,129
3992,Veigar**Locket of the Iron Solari,129
3993,Shaco**Wit's End,128
3994,Zed**Broken Stopwatch,128
3995,KogMaw**Galeforce,128
3996,Urgot**Tiamat,128
3997,RekSai**Slightly Magical Footwear,128
3998,Karthus**Giant's Belt,128
3999,Ivern**Mejai's Soulstealer,128
4000,Udyr**Negatron Cloak,128
4001,Jayce**Hexdrinker,128
4002,Ahri**Shard of True Ice,128
4003,Kayn**Cloth Armor,128
4004,Kassadin**Archangel's Staff,128
4005,Kalista**Control Ward,127
4006,Singed**Mejai's Soulstealer,127
4007,Viktor**Everfrost,127
4008,Ashe**Plated Steelcaps,127
4009,Zoe**Mercury's Treads,127
4010,Vex**Banshee's Veil,127
4011,Braum**Crystalline Bracer,127
4012,Jax**Null-Magic Mantle,127
4013,Renekton**Thornmail,127
4014,JarvanIV**Aegis of the Legion,127
4015,Volibear**Riftmaker,127
4016,Chogath**Aegis of the Legion,127
4017,Nunu**Null-Magic Mantle,127
4018,Jhin**Axiom Arc,127
4019,Katarina**Ruby Crystal,127
4020,Viktor**Plated Steelcaps,126
4021,Bard**Amplifying Tome,126
4022,Gangplank**Last Whisper,126
4023,Xayah**Boots,126
4024,Garen**Pickaxe,126
4025,Volibear**Spectre's Cowl,126
4026,Alistar**Crystalline Bracer,126
4027,Kayn**Guardian Angel,126
4028,Leona**Warden's Mail,126
4029,MasterYi**Hearthbound Axe,126
4030,Nasus**Sterak's Gage,126
4031,Kalista**Zeal,126
4032,Lucian**Quicksilver Sash,126
4033,Twitch**Titanic Hydra,126
4034,Zyra**Luden's Tempest,126
4035,Neeko**Amplifying Tome,126
4036,Zoe**Lost Chapter,125
4037,Yorick**Sterak's Gage,125
4038,Nunu**Doran's Ring,125
4039,MonkeyKing**Chain Vest,125
4040,Illaoi**Death's Dance,125
4041,Quinn**Cloak of Agility,125
4042,Sona**Plated Steelcaps,125
4043,KogMaw**Blade of The Ruined King,125
4044,Kled**Tiamat,125
4045,Ezreal**Ruby Crystal,125
4046,Mordekaiser**Seeker's Armguard,125
4047,Blitzcrank**Chain Vest,125
4048,Gragas**Hextech Alternator,125
4049,Sett**Evenshroud,125
4050,Seraphine**Blasting Wand,125
4051,Katarina**Long Sword,125
4052,Tristana**Executioner's Calling,125
4053,Rengar**Executioner's Calling,125
4054,MissFortune**Dagger,124
4055,Rakan**Negatron Cloak,124
4056,Kassadin**Doran's Ring,124
4057,Ezreal**Quicksilver Sash,124
4058,Renekton**Randuin's Omen,124
4059,Gangplank**Axiom Arc,124
4060,Nocturne**Wit's End,124
4061,Nocturne**Death's Dance,124
4062,Akshan**Noonquiver,124
4063,Anivia**Blighting Jewel,124
4064,Tristana**The Collector,124
4065,Anivia**Mercury's Treads,124
4066,Katarina**Fiendish Codex,124
4067,Gwen**Kindlegem,124
4068,Seraphine**Kindlegem,124
4069,Quinn**B. F. Sword,124
4070,Janna**Ruby Crystal,124
4071,Maokai**Chain Vest,123
4072,Taliyah**Cosmic Drive,123
4073,Pantheon**Pickaxe,123
4074,RekSai**B. F. Sword,123
4075,Veigar**Stopwatch,123
4076,Chogath**Refillable Potion,123
4077,Veigar**Broken Stopwatch,19
